rq,system,duration_h,renewable_utilization_pct,peak_reduction_pct,baseline_peak_mw,optimized_peak_mw,baseline_curtailment_mwh,curtailed_renewable_mwh,curtailment_avoided_mwh,energy_from_storage_mwh,energy_into_storage_mwh,equivalent_battery_cycles,baseline_ramp_volatility_mw,optimized_ramp_volatility_mw,volatility_reduction_pct,flex_pct,penetration,scenario,lp_peak_reduction_pct,heuristic_peak_reduction_pct
1,Morocco (Tétouan),0.0,48.01557506134572,0.0,101.56892910221273,101.56892910221273,37986.27303001973,37986.27303001973,0.0,0.0,0.0,0.0,35.491224136670695,35.491224136670695,0.0,,,,,
1,Morocco (Tétouan),1.0,48.505044890535366,0.0,101.56892910221273,101.56892910221273,37986.27303001973,37628.60562110838,357.66740891135123,324.46817085586713,357.6674089113471,50.409341134467454,35.491224136670695,35.16366420887547,0.9229321776387602,,,,,
1,Morocco (Tétouan),2.0,48.97319831463433,0.0,101.56892910221273,101.56892910221273,37986.27303001973,37286.51462349231,699.7584065274204,634.9175715459849,699.7584065274172,49.315809553315745,35.491224136670695,34.932247627937166,1.5749710592708934,,,,,
1,Morocco (Tétouan),4.0,49.87688043761323,0.6026900189731228,101.56892910221273,100.95678330413581,37986.27303001973,36626.17230180012,1360.1007282196078,1234.360666740265,1360.1007282196065,47.93221956087169,35.491224136670695,34.44703022135129,2.942118624306646,,,,,
1,Morocco (Tétouan),8.0,51.18324973829089,0.6026900189731228,101.56892910221273,100.95678330413581,37986.27303001973,35671.57674760984,2314.696282409888,2093.9489488963704,2314.6962824098764,40.72447398976029,35.491224136670695,34.01152426400393,4.169199312395341,,,,,
1,Morocco (Tétouan),12.0,51.326822585605264,0.6026900189731228,101.56892910221273,100.95678330413581,37986.27303001973,35566.66460547848,2419.6084245412494,2176.816114054156,2419.608424541245,28.30604592369106,35.491224136670695,33.978124957952005,4.263305128310034,,,,,
1,Germany,0.0,81.57630769582447,0.0,69007.30440194871,69007.30440194871,11426505.74250887,11426505.74250887,0.0,0.0,0.0,0.0,4681.173159779079,4681.173159779079,0.0,,,,,
1,Germany,1.0,81.65087105355008,0.0,69007.30440194871,69007.30440194871,11426505.74250887,11380261.014733035,46244.7277758345,39168.67096946585,46244.72777583343,7.436746760585225,4681.173159779079,4689.047368094793,-0.16821014833139816,,,,,
1,Germany,2.0,81.72163189625445,0.0,69007.30440194871,69007.30440194871,11426505.74250887,11336374.63397085,90131.1085380204,76214.82962664994,90131.10853802046,7.241677739996882,4681.173159779079,4674.118549430728,0.1507017601690937,,,,,
1,Germany,4.0,81.86156285843428,0.0,69007.30440194871,69007.30440194871,11426505.74250887,11249588.450370718,176917.29213815182,149419.2268092003,176917.29213815258,7.1033411788801715,4681.173159779079,4591.918908322507,1.9066641717817465,,,,,
1,Germany,8.0,82.06767702938502,0.0,69007.30440194871,69007.30440194871,11426505.74250887,11121754.967315452,304750.77519341744,254663.0254437995,304750.77519341506,6.088357960852763,4681.173159779079,4537.186171951086,3.0758739938342217,,,,,
1,Germany,12.0,82.25116721460466,0.0,69007.30440194871,69007.30440194871,11426505.74250887,11007953.042028677,418552.7004801929,347278.4220867597,418552.7004801897,5.556595143509366,4681.173159779079,4539.712960137299,3.0218963241354566,,,,,
2,Morocco (Tétouan),0.0,48.01557506134572,0.0,101.56892910221273,101.56892910221273,37986.27303001973,37986.27303001973,0.0,0.0,0.0,0.0,35.491224136670695,35.491224136670695,0.0,0.0,,,,
2,Morocco (Tétouan),2.0,48.97319831463433,0.0,101.56892910221273,101.56892910221273,37986.27303001973,37286.51462349231,699.7584065274204,634.9175715459849,699.7584065274172,49.315809553315745,35.491224136670695,34.932247627937166,1.5749710592708934,0.0,,,,
2,Morocco (Tétouan),4.0,49.87688043761323,0.6026900189731228,101.56892910221273,100.95678330413581,37986.27303001973,36626.17230180012,1360.1007282196078,1234.360666740265,1360.1007282196065,47.93221956087169,35.491224136670695,34.44703022135129,2.942118624306646,0.0,,,,
2,Morocco (Tétouan),8.0,51.18324973829089,0.6026900189731228,101.56892910221273,100.95678330413581,37986.27303001973,35671.57674760984,2314.696282409888,2093.9489488963704,2314.6962824098764,40.72447398976029,35.491224136670695,34.01152426400393,4.169199312395341,0.0,,,,
2,Morocco (Tétouan),0.0,50.0798094453604,5.001474153302517,101.56892910221273,96.4889853653794,37986.27303001973,36477.887181726335,1508.3858482933938,0.0,0.0,0.0,35.491224136670695,33.7472351869883,4.913859671243208,5.0,,,,
