timestamp,demand_mw,solar_mw,wind_mw
2015-01-04T21:00:00Z,48808.0000,0.0000,12458.0000
2015-01-04T22:00:00Z,46024.0000,0.0000,12453.0000
2015-01-04T23:00:00Z,42658.0000,0.0000,12321.0000
2015-01-05T00:00:00Z,40699.0000,0.0000,12279.0000
2015-01-05T01:00:00Z,39447.0000,0.0000,12660.0000
2015-01-05T02:00:00Z,39513.0000,0.0000,12763.0000
2015-01-05T03:00:00Z,40440.0000,0.0000,13547.0000
2015-01-05T04:00:00Z,43931.0000,0.0000,14853.0000
2015-01-05T05:00:00Z,50074.0000,0.0000,15410.0000
2015-01-05T06:00:00Z,56244.0000,0.0000,15314.0000
2015-01-05T07:00:00Z,59860.0000,93.0000,15190.0000
2015-01-05T08:00:00Z,61179.0000,1057.0000,14611.0000
2015-01-05T09:00:00Z,62104.0000,2986.0000,13642.0000
2015-01-05T10:00:00Z,63018.0000,4770.0000,12310.0000
2015-01-05T11:00:00Z,62952.0000,5870.0000,11118.0000
2015-01-05T12:00:00Z,62108.0000,5666.0000,9794.0000
2015-01-05T13:00:00Z,61182.0000,4095.0000,7868.0000
2015-01-05T14:00:00Z,60450.0000,1788.0000,6205.0000
2015-01-05T15:00:00Z,61342.0000,197.0000,5077.0000
2015-01-05T16:00:00Z,65130.0000,0.0000,4507.0000
2015-01-05T17:00:00Z,64886.0000,0.0000,4236.0000
2015-01-05T18:00:00Z,63242.0000,0.0000,3924.0000
2015-01-05T19:00:00Z,59162.0000,0.0000,3186.0000
2015-01-05T20:00:00Z,56346.0000,0.0000,2637.0000
2015-01-05T21:00:00Z,54730.0000,0.0000,2108.0000
2015-01-05T22:00:00Z,50564.0000,0.0000,1810.0000
2015-01-05T23:00:00Z,47317.0000,0.0000,1491.0000
2015-01-06T00:00:00Z,45011.0000,0.0000,1171.0000
2015-01-06T01:00:00Z,44015.0000,0.0000,907.0000
2015-01-06T02:00:00Z,44049.0000,0.0000,840.0000
2015-01-06T03:00:00Z,44730.0000,0.0000,916.0000
2015-01-06T04:00:00Z,46416.0000,0.0000,1102.0000
2015-01-06T05:00:00Z,50597.0000,0.0000,1433.0000
2015-01-06T06:00:00Z,55697.0000,0.0000,1793.0000
2015-01-06T07:00:00Z,57954.0000,183.0000,2181.0000
2015-01-06T08:00:00Z,59295.0000,2055.0000,2622.0000
2015-01-06T09:00:00Z,60723.0000,4694.0000,3065.0000
2015-01-06T10:00:00Z,61744.0000,6658.0000,3437.0000
2015-01-06T11:00:00Z,61628.0000,7272.0000,3409.0000
2015-01-06T12:00:00Z,60697.0000,6351.0000,3773.0000
2015-01-06T13:00:00Z,59259.0000,3958.0000,4349.0000
2015-01-06T14:00:00Z,58836.0000,1554.0000,5189.0000
2015-01-06T15:00:00Z,60089.0000,163.0000,6674.0000
2015-01-06T16:00:00Z,63969.0000,0.0000,8121.0000
2015-01-06T17:00:00Z,64219.0000,0.0000,9376.0000
2015-01-06T18:00:00Z,63346.0000,0.0000,9575.0000
2015-01-06T19:00:00Z,59695.0000,0.0000,9714.0000
2015-01-06T20:00:00Z,57114.0000,0.0000,9263.0000
2015-01-06T21:00:00Z,54886.0000,0.0000,9666.0000
2015-01-06T22:00:00Z,50639.0000,0.0000,9524.0000
2015-01-06T23:00:00Z,47308.0000,0.0000,9127.0000
2015-01-07T00:00:00Z,45125.0000,0.0000,8514.0000
2015-01-07T01:00:00Z,44217.0000,0.0000,8188.0000
2015-01-07T02:00:00Z,44368.0000,0.0000,8711.0000
2015-01-07T03:00:00Z,45298.0000,0.0000,8753.0000
2015-01-07T04:00:00Z,48598.0000,0.0000,8452.0000
2015-01-07T05:00:00Z,56626.0000,0.0000,8458.0000
2015-01-07T06:00:00Z,63293.0000,0.0000,8066.0000
2015-01-07T07:00:00Z,65964.0000,50.0000,7725.0000
2015-01-07T08:00:00Z,66400.0000,609.0000,7299.0000
2015-01-07T09:00:00Z,67746.0000,1812.0000,7114.0000
2015-01-07T10:00:00Z,68507.0000,3060.0000,7229.0000
2015-01-07T11:00:00Z,68100.0000,3777.0000,7460.0000
2015-01-07T12:00:00Z,67248.0000,3715.0000,7775.0000
2015-01-07T13:00:00Z,66044.0000,2800.0000,7330.0000
2015-01-07T14:00:00Z,65496.0000,1157.0000,7095.0000
2015-01-07T15:00:00Z,66191.0000,134.0000,7546.0000
2015-01-07T16:00:00Z,69647.0000,0.0000,8698.0000
2015-01-07T17:00:00Z,69425.0000,0.0000,10209.0000
2015-01-07T18:00:00Z,67467.0000,0.0000,11382.0000
2015-01-07T19:00:00Z,63605.0000,0.0000,12803.0000
2015-01-07T20:00:00Z,60469.0000,0.0000,14009.0000
2015-01-07T21:00:00Z,58348.0000,0.0000,14561.0000
2015-01-07T22:00:00Z,54070.0000,0.0000,14790.0000
2015-01-07T23:00:00Z,50460.0000,0.0000,15037.0000
2015-01-08T00:00:00Z,48041.0000,0.0000,15807.0000
2015-01-08T01:00:00Z,47074.0000,0.0000,16449.0000
